ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,hour,time_of_day
2023-12-29 09:37:11+00:00,ios,229477,US,73.85.101.89,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),spotify:track:1Iq8oo9XkmmvCQiGOfORiz,,,,,,,,clickrow,trackdone,True,False,False,1703842402,False,9,morning
2023-12-29 09:37:15+00:00,ios,2278,US,73.85.101.89,Diet Mountain Dew,Lana Del Rey,Born To Die – Paradise Edition,spotify:track:6BFnRhvKCclDQOajt8dBGi,,,,,,,,trackdone,endplay,True,True,False,1703842632,False,9,morning
2023-12-29 11:46:30+00:00,ios,42453,US,172.58.130.26,Torn,Natalie Imbruglia,Left Of The Middle,spotify:track:1Jaah2tmN9Hv81A87KZ1MU,,,,,,,,clickrow,endplay,True,True,False,1703842635,False,11,morning
2023-12-29 11:50:00+00:00,ios,210240,US,172.58.130.26,Easily,Bruno Major,A Song For Every Moon,spotify:track:0RnxpSzxzwZgFQ0NahQr9K,,,,,,,,playbtn,trackdone,True,False,False,1703850391,False,11,morning
2023-12-29 11:53:54+00:00,ios,233720,US,172.58.130.26,Slipping Through My Fingers,ABBA,The Visitors,spotify:track:6TvxPS4fj4LUdjw2es4g21,,,,,,,,trackdone,trackdone,True,False,False,1703850600,False,11,morning
2023-12-29 11:56:25+00:00,ios,150620,US,172.58.130.26,Wurli,Dominic Fike,What Could Possibly Go Wrong,spotify:track:5MSshyHGM9ajWSEoBcR0jv,,,,,,,,trackdone,trackdone,True,False,False,1703850835,False,11,morning
2023-12-29 11:57:45+00:00,ios,79989,US,172.58.130.26,Intolewd,Matt Maltese,Krystal,spotify:track:79rfskJwK9NLN3p5cdccth,,,,,,,,trackdone,trackdone,True,False,False,1703850986,False,11,morning
2024-01-01 06:03:11+00:00,ios,25021,US,12.1.132.2,Getaway Car,Taylor Swift,reputation,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,,,,,,,,trackdone,endplay,True,True,False,1704075071,False,6,morning
2024-01-01 06:06:24+00:00,ios,155416,US,12.1.132.2,One More Weekend,Maude Latour,One More Weekend,spotify:track:19YOJKCVvOL7v6B2Oe3UBc,,,,,,,,clickrow,trackdone,True,False,False,1704088991,False,6,morning
2024-01-01 06:06:38+00:00,ios,12382,US,12.1.132.2,Wonderland,Taylor Swift,1989,spotify:track:6iWMI5oOhWrDbLbjmwTWFq,,,,,,,,trackdone,endplay,True,True,False,1704089185,False,6,morning
